,CD_UNIDADE,DESC_UNIDADE,CD_EQUIPAMENTO,CD_OPERADOR,DT_HORA_INI,DT_HORA_FIM,CD_OPERACAO,DESC_OPERACAO,CD_GRP_OPERACAO,DESC_GRP_OPERACAO,VL_HR_OPERACIONAL,CD_FAZENDA,CD_GRP_EQUIPAMENTO,DESC_GRP_EQUIPAMENTO,VL_VELOCIDADE_MEDIA,CD_TP_EQUIPAMENTO,INFA_EXT_DT,VL_ESPACAMENTO_IMPLEMENTO,DESC_APLICACAO,HORA_INI,HORA_FIM,Personalizar
0,3,ITUIUTABA,36317,550985,2021-10-29T09:46:48.0000000,2021-10-30T19:50:14.0000000,633,DESLOC VAZIO TRANSB CARREADOR,53,PRODUTIVA,0.0572,4051,2,302 - FRT COLHEITA MECANIZADA ITT,15.34,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
1,6,TROPICAL,63377,99999,2021-10-29T09:20:07.0000000,2021-10-29T09:50:09.0000000,803,CHUVA/VENTO/UMIDADE/TEMPERATURA,50,INAPTIDAO,0.5006,4201,606,606 - FRT COLHEITA  MECANIZADA TRP,0.0,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
2,3,ITUIUTABA,36291,550192,2021-10-29T09:47:31.0000000,2021-10-29T09:50:01.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0417,4051,2,302 - FRT COLHEITA MECANIZADA ITT,5.93,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
3,6,TROPICAL,63894,151012,2021-10-29T09:19:25.0000000,2021-10-29T09:49:26.0000000,803,CHUVA/VENTO/UMIDADE/TEMPERATURA,50,INAPTIDAO,0.5003,4178,601,601 - FRT COLHEITA MECANIZADA TRP,0.0,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
4,3,ITUIUTABA,36313,32112,2021-10-29T09:43:54.0000000,2021-10-29T09:49:20.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0906,4113,1,301 - FRT COLHEITA MECANIZADA ITT,7.43,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
5,3,ITUIUTABA,36269,550509,2021-10-29T09:45:17.0000000,2021-10-29T09:49:13.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0656,4250,3,303 - FRT COLHEITA MECANIZADA ITT,6.56,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
6,4,ITUMBIARA,46158,33842,2021-10-29T09:42:55.0000000,2021-10-29T09:49:07.0000000,632,DESLOC CARREG TRANSB CARREADOR,53,PRODUTIVA,0.1033,4277,21,401 - FRT COLHEITA MECANIZADA ITB,12.47,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
7,4,ITUMBIARA,46164,35083,2021-10-29T09:46:10.0000000,2021-10-29T09:48:42.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0422,4277,21,401 - FRT COLHEITA MECANIZADA ITB,5.59,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
8,3,ITUIUTABA,36279,550059,2021-10-29T09:46:52.0000000,2021-10-29T09:48:30.0000000,854,MUDANCA DE AREA RODANDO,8051,AUXILIAR OPERACAO,0.0272,4051,2,302 - FRT COLHEITA MECANIZADA ITT,5.08,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
9,4,ITUMBIARA,46440,30476,2021-10-29T09:18:23.0000000,2021-10-29T09:48:26.0000000,803,CHUVA/VENTO/UMIDADE/TEMPERATURA,50,INAPTIDAO,0.5008,4107,22,402 - FRT COLHEITA MECANIZADA ITB,0.0,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
10,6,TROPICAL,63378,331613,2021-10-29T09:45:28.0000000,2021-10-29T09:48:22.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0483,4201,606,606 - FRT COLHEITA  MECANIZADA TRP,4.83,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
11,6,TROPICAL,63901,151010,2021-10-29T09:18:21.0000000,2021-10-29T09:48:22.0000000,803,CHUVA/VENTO/UMIDADE/TEMPERATURA,50,INAPTIDAO,0.5003,4182,602,602 - FRT COLHEITA MECANIZADA TRP,0.0,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
12,6,TROPICAL,63892,99999,2021-10-29T09:47:12.0000000,2021-10-29T09:48:19.0000000,631,MANOBRA TRANSBORDO EITO,53,PRODUTIVA,0.0186,4019,605,605 - FRT COLHEITA MECANIZADA TRP,5.97,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
13,3,ITUIUTABA,36303,550498,2021-10-29T09:32:34.0000000,2021-10-29T09:47:53.0000000,632,DESLOC CARREG TRANSB CARREADOR,53,PRODUTIVA,0.2553,4250,3,303 - FRT COLHEITA MECANIZADA ITT,13.1,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
14,6,TROPICAL,6941,150848,2021-10-29T09:46:59.0000000,2021-10-29T09:47:45.0000000,1055,MANOBRA,53,PRODUTIVA,0.0128,4019,605,605 - FRT COLHEITA MECANIZADA TRP,2.88,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
15,3,ITUIUTABA,36291,550192,2021-10-29T09:46:55.0000000,2021-10-29T09:47:31.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.01,4051,2,302 - FRT COLHEITA MECANIZADA ITT,4.58,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
16,6,TROPICAL,36260,99999,2021-10-29T09:17:27.0000000,2021-10-29T09:47:29.0000000,803,CHUVA/VENTO/UMIDADE/TEMPERATURA,50,INAPTIDAO,0.5006,4178,601,601 - FRT COLHEITA MECANIZADA TRP,0.0,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
17,6,TROPICAL,63895,34252,2021-10-29T09:44:33.0000000,2021-10-29T09:47:28.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0486,4019,605,605 - FRT COLHEITA MECANIZADA TRP,6.59,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
18,4,ITUMBIARA,46160,33910,2021-10-29T09:26:23.0000000,2021-10-29T09:47:19.0000000,803,CHUVA/VENTO/UMIDADE/TEMPERATURA,50,INAPTIDAO,0.3489,4277,21,401 - FRT COLHEITA MECANIZADA ITB,0.0,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
19,4,ITUMBIARA,46438,13890,2021-10-29T09:46:46.0000000,2021-10-29T09:47:18.0000000,1055,MANOBRA,53,PRODUTIVA,0.0089,4277,21,401 - FRT COLHEITA MECANIZADA ITB,2.88,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
20,3,ITUIUTABA,36305,20386,2021-10-29T09:45:21.0000000,2021-10-29T09:47:17.0000000,891,MANUTENCAO CORRETIVA IMPLEMENTO,51,MANUTENCAO,0.0322,4051,2,302 - FRT COLHEITA MECANIZADA ITT,0.0,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
21,6,TROPICAL,63892,99999,2021-10-29T09:46:09.0000000,2021-10-29T09:47:12.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0175,4019,605,605 - FRT COLHEITA MECANIZADA TRP,7.19,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
22,3,ITUIUTABA,36312,33670,2021-10-29T09:46:59.0000000,2021-10-29T09:47:08.0000000,632,DESLOC CARREG TRANSB CARREADOR,53,PRODUTIVA,0.0025,4250,3,303 - FRT COLHEITA MECANIZADA ITT,6.02,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
23,3,ITUIUTABA,36312,33670,2021-10-29T09:44:31.0000000,2021-10-29T09:46:59.0000000,632,DESLOC CARREG TRANSB CARREADOR,53,PRODUTIVA,0.0411,4250,3,303 - FRT COLHEITA MECANIZADA ITT,6.41,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
24,6,TROPICAL,6941,150848,2021-10-29T09:45:58.0000000,2021-10-29T09:46:59.0000000,729,COLHEITA CANA MECANIZADA,53,PRODUTIVA,0.0169,4019,605,605 - FRT COLHEITA MECANIZADA TRP,7.27,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
25,4,ITUMBIARA,46166,33841,2021-10-29T09:42:18.0000000,2021-10-29T09:46:56.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0772,4277,21,401 - FRT COLHEITA MECANIZADA ITB,4.51,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
26,3,ITUIUTABA,36291,550192,2021-10-29T09:44:10.0000000,2021-10-29T09:46:55.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0458,4051,2,302 - FRT COLHEITA MECANIZADA ITT,5.78,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
27,3,ITUIUTABA,36279,550059,2021-10-29T09:45:11.0000000,2021-10-29T09:46:52.0000000,854,MUDANCA DE AREA RODANDO,8051,AUXILIAR OPERACAO,0.0281,4051,2,302 - FRT COLHEITA MECANIZADA ITT,6.02,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
28,3,ITUIUTABA,36308,551093,2021-10-29T09:16:47.0000000,2021-10-29T09:46:52.0000000,803,CHUVA/VENTO/UMIDADE/TEMPERATURA,50,INAPTIDAO,0.5014,4113,1,301 - FRT COLHEITA MECANIZADA ITT,0.0,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
29,3,ITUIUTABA,36317,550985,2021-10-29T09:44:58.0000000,2021-10-29T09:46:48.0000000,634,BASCULANDO / TRANSBORDAGEM,53,PRODUTIVA,0.0306,4051,2,302 - FRT COLHEITA MECANIZADA ITT,3.5,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
30,4,ITUMBIARA,46438,13890,2021-10-29T09:42:07.0000000,2021-10-29T09:46:46.0000000,729,COLHEITA CANA MECANIZADA,53,PRODUTIVA,0.0775,4277,21,401 - FRT COLHEITA MECANIZADA ITB,4.55,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
